time_start,precipitation
"Aug 11, 1991",123.853
"Aug 16, 1991",43.976
"Aug 21, 1991",99.29
"Aug 26, 1991",106.694
"Sep 1, 1991",42.707
"Sep 6, 1991",62.885
"Sep 11, 1991",79.276
"Sep 16, 1991",76.826
"Sep 21, 1991",86.189
"Sep 26, 1991",35.795
"Oct 1, 1991",35.115
"Oct 6, 1991",49.976
"Oct 11, 1991",40.875
"Oct 16, 1991",60.835
"Oct 21, 1991",29.543
"Oct 26, 1991",45.268
"Nov 1, 1991",18.307
"Nov 6, 1991",13.847
"Nov 11, 1991",22.459
"Nov 16, 1991",14.937
"Nov 21, 1991",8.926
"Nov 26, 1991",34.571
"Dec 1, 1991",2.939
"Dec 6, 1991",7.452
"Dec 11, 1991",2.303
"Dec 16, 1991",1.485
"Dec 21, 1991",1.517
"Dec 26, 1991",4.202
"Jan 1, 1992",1.518
"Jan 6, 1992",1.737
"Jan 11, 1992",0.942
"Jan 16, 1992",0.919
"Jan 21, 1992",0.96
"Jan 26, 1992",1.504
"Feb 1, 1992",2.601
"Feb 6, 1992",3.759
"Feb 11, 1992",6.171
"Feb 16, 1992",1.931
"Feb 21, 1992",2.007
"Feb 26, 1992",1.193
"Mar 1, 1992",1.862
"Mar 6, 1992",3.255
"Mar 11, 1992",1.616
"Mar 16, 1992",3.728
"Mar 21, 1992",3.049
"Mar 26, 1992",6.656
"Apr 1, 1992",12.342
"Apr 6, 1992",14.85
"Apr 11, 1992",7.052
"Apr 16, 1992",9.927
"Apr 21, 1992",24.395
"Apr 26, 1992",31.832
"May 1, 1992",28.862
"May 6, 1992",46.183
"May 11, 1992",13.266
"May 16, 1992",56.746
"May 21, 1992",42.395
"May 26, 1992",48.19
"Jun 1, 1992",67.973
"Jun 6, 1992",59.707
"Jun 11, 1992",77.892
"Jun 16, 1992",49.43
"Jun 21, 1992",45.458
"Jun 26, 1992",48.251
"Jul 1, 1992",77.051
"Jul 6, 1992",56.843
"Jul 11, 1992",73.726
"Jul 16, 1992",157.298
"Jul 21, 1992",93.955
"Jul 26, 1992",112.011
"Aug 1, 1992",167.85
"Aug 6, 1992",106.345
"Aug 11, 1992",104.694
"Aug 16, 1992",102.888
"Aug 21, 1992",117.486
"Aug 26, 1992",61.058
"Sep 1, 1992",68.979
"Sep 6, 1992",79.537
"Sep 11, 1992",59.916
"Sep 16, 1992",89.818
"Sep 21, 1992",53.696
"Sep 26, 1992",73.175
"Oct 1, 1992",60.55
"Oct 6, 1992",32.811
"Oct 11, 1992",67.225
"Oct 16, 1992",52.475
"Oct 21, 1992",40.589
"Oct 26, 1992",45.612
"Nov 1, 1992",38.161
"Nov 6, 1992",39.901
"Nov 11, 1992",41.303
"Nov 16, 1992",14.937
